"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BRC","Brady Corporation","57.67","$3.07B","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/brc",
"BHR","Braemar Hotels & Resorts Inc.","9.34","$307.15M","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bhr",
"BHR^B","Braemar Hotels & Resorts Inc.","19","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bhr^b",
"BHR^D","Braemar Hotels & Resorts Inc.","27.165","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bhr^d",
"BDN","Brandywine Realty Trust","15.63","$2.75B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bdn",
"BWG","BrandywineGLOBAL Global Income Opportunities Fund ","12.56","$263.63M","2012","n/a","n/a","https://old.nasdaq.com/symbol/bwg",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.4104","$237.29M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/lnd",
"BAK","Braskem S.A.","14.4","$5.73B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/bak",
"BRFS","BRF S.A.","8.52","$6.92B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/brfs",
"BGG","Briggs & Stratton Corporation","5.62","$238.76M","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bgg",
"MNRL","Brigham Minerals, Inc.","20.46","$1.16B","2019","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mnrl",
"BFAM","Bright Horizons Family Solutions Inc.","151.28","$8.8B","2013","Miscellaneous","Other Consumer Services","https://old.nasdaq.com/symbol/bfam",
"BEDU","Bright Scholar Education Holdings Limited","9.08","$1.13B","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/bedu",
"BSA","BrightSphere Investment Group Inc.","25.19","n/a","2016","Finance","Investment Managers","https://old.nasdaq.com/symbol/bsa",
"BSIG","BrightSphere Investment Group Inc.","10.09","$868.83M","2014","Finance","Investment Managers","https://old.nasdaq.com/symbol/bsig",
"BV","BrightView Holdings, Inc.","16.98","$1.78B","2018","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/bv",
"EAT","Brinker International, Inc.","42.04","$1.57B","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/eat",
"BCO","Brink&#39;s Company (The)","91.06","$4.56B","n/a","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/bco",
"BMY","Bristol-Myers Squibb Company","63.16","$148.06B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bmy",
"BMY~","Bristol-Myers Squibb Company","2.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bmy~",
"BTI","British American Tobacco p.l.c.","42.8","$98.18B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/bti",
"BRX","Brixmor Property Group Inc.","21.21","$6.32B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/brx",
"BRMK","Broadmark Realty Capital Inc.","12.52","$1.65B","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/brmk",
"BR","Broadridge Financial Solutions, Inc.","123.06","$14.11B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/br",
"BKD","Brookdale Senior Living Inc.","7.02","$1.3B","2005","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/bkd",
